"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","test_create_post_returns_201","tests.component","2026-06-08","passed","2026-06-08","TestPostsWrite","test_posts","",""
"","14","test_multiple_posts_are_retrievable[2]","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","15","test_get_nonexistent_user_returns_404","tests.component","2026-06-08","passed","2026-06-08","TestUsersRead","test_users","",""
"","66","test_get_all_posts_match_schema","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","59","test_get_single_post_matches_schema","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"TypeAdapter reports which index broke the contract.","0","test_list_validation_pinpoints_the_bad_element","tests.unit","2026-06-08","passed","2026-06-08","TestSchemaRejectsBadData","test_schema_validation","",""
"","32","test_comments_reference_their_post","tests.integration","2026-06-08","passed","2026-06-08","TestPostCommentsRelationship","test_resource_flows","",""
"","10","test_multiple_posts_are_retrievable[3]","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","12","test_get_single_post_returns_200","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","14","test_multiple_users_all_have_posts[1]","tests.integration","2026-06-08","passed","2026-06-08","TestUserPostsRelationship","test_resource_flows","",""
"","23","test_posts_belong_to_fetched_user","tests.integration","2026-06-08","passed","2026-06-08","TestUserPostsRelationship","test_resource_flows","",""
"","18","test_get_nonexistent_post_returns_404","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"Fail twice with 503, then recover with 200: the client surfaces the
success and the call count confirms all three attempts ran.","2","test_retries_transient_5xx_then_succeeds","tests.unit","2026-06-08","passed","2026-06-08","TestRetryPolicy","test_client_resilience","",""
"","1","test_missing_required_field_is_rejected","tests.unit","2026-06-08","passed","2026-06-08","TestSchemaRejectsBadData","test_schema_validation","",""
"A non-numeric id must fail — a plain `""id"" in data` check would pass.","0","test_wrong_type_is_rejected","tests.unit","2026-06-08","passed","2026-06-08","TestSchemaRejectsBadData","test_schema_validation","",""
"","70","test_get_nonexistent_comment_returns_404","tests.component","2026-06-08","passed","2026-06-08","TestCommentsRead","test_comments","",""
"","11","test_multiple_posts_are_retrievable[1]","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","42","test_created_post_comments_endpoint_is_reachable","tests.integration","2026-06-08","passed","2026-06-08","TestPostCommentsRelationship","test_resource_flows","",""
"A request that never completes must raise rather than hang.","1","test_raises_when_server_does_not_respond","tests.unit","2026-06-08","passed","2026-06-08","TestTimeout","test_client_resilience","",""
"","22","test_get_all_users_match_schema","tests.component","2026-06-08","passed","2026-06-08","TestUsersRead","test_users","",""
"EmailStr validates format, not just presence.","1","test_malformed_email_is_rejected","tests.unit","2026-06-08","passed","2026-06-08","TestSchemaRejectsBadData","test_schema_validation","",""
"","29","test_update_post_returns_200","tests.component","2026-06-08","passed","2026-06-08","TestPostsWrite","test_posts","",""
"","13","test_get_all_posts_returns_200","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","10","test_multiple_posts_are_retrievable[5]","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
"","15","test_multiple_users_all_have_posts[3]","tests.integration","2026-06-08","passed","2026-06-08","TestUserPostsRelationship","test_resource_flows","",""
"","12","test_multiple_users_all_have_posts[2]","tests.integration","2026-06-08","passed","2026-06-08","TestUserPostsRelationship","test_resource_flows","",""
"POST is excluded from retries, so a 503 surfaces immediately.","1","test_does_not_retry_post","tests.unit","2026-06-08","passed","2026-06-08","TestRetryPolicy","test_client_resilience","",""
"","25","test_create_comment_then_fetch_comments_list","tests.integration","2026-06-08","passed","2026-06-08","TestPostCommentCreation","test_resource_flows","",""
"","17","test_delete_post_returns_200","tests.component","2026-06-08","passed","2026-06-08","TestPostsWrite","test_posts","",""
"","17","test_create_post_reflects_sent_data","tests.component","2026-06-08","passed","2026-06-08","TestPostsWrite","test_posts","",""
"","12","test_get_single_user_matches_schema","tests.component","2026-06-08","passed","2026-06-08","TestUsersRead","test_users","",""
"","135","test_get_all_comments_match_schema","tests.component","2026-06-08","passed","2026-06-08","TestCommentsRead","test_comments","",""
"","21","test_user_must_exist_before_fetching_their_posts","tests.integration","2026-06-08","passed","2026-06-08","TestUserPostsRelationship","test_resource_flows","",""
"","11","test_get_single_comment_matches_schema","tests.component","2026-06-08","passed","2026-06-08","TestCommentsRead","test_comments","",""
"","45","test_create_post_then_comment_reflects_sent_data","tests.integration","2026-06-08","passed","2026-06-08","TestPostCommentCreation","test_resource_flows","",""
"","16","test_multiple_posts_are_retrievable[10]","tests.component","2026-06-08","passed","2026-06-08","TestPostsRead","test_posts","",""
