"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","test_multiple_posts_are_retrievable[10]","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","307","test_get_all_posts_returns_200","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","22","test_get_nonexistent_post_returns_404","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","22","test_get_single_post_matches_schema","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","54","test_create_post_returns_201","tests.component","2026-06-05","passed","2026-06-05","TestPostsWrite","test_posts","",""
"","80","test_created_post_comments_endpoint_is_reachable","tests.integration","2026-06-05","passed","2026-06-05","TestPostCommentsRelationship","test_resource_flows","",""
"","55","test_create_post_reflects_sent_data","tests.component","2026-06-05","passed","2026-06-05","TestPostsWrite","test_posts","",""
"","19","test_multiple_posts_are_retrievable[1]","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","55","test_delete_post_returns_200","tests.component","2026-06-05","passed","2026-06-05","TestPostsWrite","test_posts","",""
"","22","test_multiple_posts_are_retrievable[2]","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","22","test_multiple_users_all_have_posts[3]","tests.integration","2026-06-05","passed","2026-06-05","TestUserPostsRelationship","test_resource_flows","",""
"","60","test_posts_belong_to_fetched_user","tests.integration","2026-06-05","passed","2026-06-05","TestUserPostsRelationship","test_resource_flows","",""
"","47","test_comments_reference_their_post","tests.integration","2026-06-05","passed","2026-06-05","TestPostCommentsRelationship","test_resource_flows","",""
"","131","test_update_post_returns_200","tests.component","2026-06-05","passed","2026-06-05","TestPostsWrite","test_posts","",""
"","24","test_multiple_posts_are_retrievable[5]","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","26","test_multiple_users_all_have_posts[2]","tests.integration","2026-06-05","passed","2026-06-05","TestUserPostsRelationship","test_resource_flows","",""
"","23","test_multiple_posts_are_retrievable[3]","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","21","test_multiple_users_all_have_posts[1]","tests.integration","2026-06-05","passed","2026-06-05","TestUserPostsRelationship","test_resource_flows","",""
"","77","test_create_comment_then_fetch_comments_list","tests.integration","2026-06-05","passed","2026-06-05","TestPostCommentCreation","test_resource_flows","",""
"","112","test_create_post_then_comment_reflects_sent_data","tests.integration","2026-06-05","passed","2026-06-05","TestPostCommentCreation","test_resource_flows","",""
"","19","test_get_all_posts_match_schema","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","309","test_get_single_post_returns_200","tests.component","2026-06-05","passed","2026-06-05","TestPostsRead","test_posts","",""
"","40","test_user_must_exist_before_fetching_their_posts","tests.integration","2026-06-05","passed","2026-06-05","TestUserPostsRelationship","test_resource_flows","",""
